qsort-exam: killer median 337.1 us, max 356.1 us
w1 E2E-CHB          0.0001: 0.480x  1e-05: 0.489x  1e-06: 0.495x [2 s]
w1 E2E-MEMIK        0.0001: 0.513x  1e-05: 0.535x  1e-06: 0.558x [1 s]
w1 E2E-CANTELLI     0.0001: 1.106x  1e-05: 2.564x  1e-06: 7.175x [0 s]
w1 E2E-EVT-PoT      0.0001: 0.479x  1e-05: 0.479x  1e-06: 0.479x [8 s]
w1 E2E-EVT-BM       0.0001: nanx  1e-05: nanx  1e-06: nanx [0 s]
w1 CHB-COMONO       0.0001: 2.353x  1e-05: 2.395x  1e-06: 2.430x [5 s]
w1 CHB-IND          0.0001: 2.326x  1e-05: 2.364x  1e-06: 2.398x [8 s]
w1 CHB-COP          0.0001: 2.324x  1e-05: 2.362x  1e-06: 2.395x [48 s]
w1 MEMIK-COP        0.0001: 2.342x  1e-05: 2.395x  1e-06: 2.655x [43 s]
w1 EVT-COP          0.0001: 2.313x  1e-05: 2.315x  1e-06: 2.317x [67 s]
w1 CHB-COMONO@inst  0.0001: 64.561x  1e-05: 124.076x  1e-06: 180.338x [417 s]
w1 CHB-IND@inst     0.0001: 62.617x  1e-05: 72.330x  1e-06: 90.554x [464 s]
w1 CHB-COP@inst     0.0001: 63.579x  1e-05: 83.264x  1e-06: 109.898x [850 s]
